	Ticker symbol	Security	SEC filings	GICS Sector	GICS Sub Industry	Location	Date first added[3][4]	CIK	Founded
0	MMM	3M Company	reports	Industrials	Industrial Conglomerates	St. Paul, Minnesota		66740	1902
1	ABT	Abbott Laboratories	reports	Health Care	Health Care Equipment	North Chicago, Illinois	1964-03-31	1800	1888
2	ABBV	AbbVie Inc.	reports	Health Care	Pharmaceuticals	North Chicago, Illinois	2012-12-31	1551152	2013 (1888)
3	ABMD	ABIOMED Inc	reports	Health Care	Health Care Equipment	Danvers, Massachusetts	2018-05-31	815094	1981
4	ACN	Accenture plc	reports	Information Technology	IT Consulting & Other Services	Dublin, Ireland	2011-07-06	1467373	1989
5	ATVI	Activision Blizzard	reports	Information Technology	Home Entertainment Software	Santa Monica, California	2015-08-31	718877	2008
6	ADBE	Adobe Systems Inc	reports	Information Technology	Application Software	San Jose, California	1997-05-05	796343	1982
7	AMD	Advanced Micro Devices Inc	reports	Information Technology	Semiconductors	Sunnyvale, California	2017-03-20	2488	1969
8	AAP	Advance Auto Parts	reports	Consumer Discretionary	Automotive Retail	Roanoke, Virginia	2015-07-09	1158449	1932
9	AES	AES Corp	reports	Utilities	Independent Power Producers & Energy Traders	Arlington, Virginia	1998-10-02	874761	1981
10	AET	Aetna Inc	reports	Health Care	Managed Health Care	Hartford, Connecticut	1976-06-30	1122304	1810
11	AMG	Affiliated Managers Group Inc	reports	Financials	Asset Management & Custody Banks	Beverly, Massachusetts	2014-07-01	1004434	1993
12	AFL	AFLAC Inc	reports	Financials	Life & Health Insurance	Columbus, Georgia	1999-05-28	4977	1955
13	A	Agilent Technologies Inc	reports	Health Care	Health Care Equipment	Santa Clara, California	2000-06-05	1090872	1999
14	APD	Air Products & Chemicals Inc	reports	Materials	Industrial Gases	Allentown, Pennsylvania	1985-04-30	2969	1940
15	AKAM	Akamai Technologies Inc	reports	Information Technology	Internet Software & Services	Cambridge, Massachusetts	2007-07-12	1086222	1998
16	ALK	Alaska Air Group Inc	reports	Industrials	Airlines	Seattle, Washington	2016-05-13	766421	1985
17	ALB	Albemarle Corp	reports	Materials	Specialty Chemicals	Baton Rouge, Louisiana	2016-07-01	915913	1994
18	ARE	Alexandria Real Estate Equities Inc	reports	Real Estate	Office REITs	Pasadena, California	2017-03-20	1035443	1994
19	ALXN	Alexion Pharmaceuticals	reports	Health Care	Biotechnology	Cheshire, Connecticut	2012-05-25	899866	1992
20	ALGN	Align Technology	reports	Health Care	Health Care Supplies	San Jose, California	2017-06-19	1097149	1997
21	ALLE	Allegion	reports	Industrials	Building Products	Dublin, Ireland	2013-12-02	1579241	1908
22	AGN	Allergan, Plc	reports	Health Care	Pharmaceuticals	Dublin, Ireland	1999-04-12	1578845	1983
23	ADS	Alliance Data Systems	reports	Information Technology	Data Processing & Outsourced Services	Plano, Texas	2013-12-23	1101215	1996
24	LNT	Alliant Energy Corp	reports	Utilities	Electric Utilities	Madison, Wisconsin	2016-07-01	352541	1917
25	ALL	Allstate Corp	reports	Financials	Property & Casualty Insurance	Northfield Township, Illinois	1995-07-13	899051	1931
26	GOOGL	Alphabet Inc Class A	reports	Information Technology	Internet Software & Services	Mountain View, California	2014-04-03	1652044	1998
27	GOOG	Alphabet Inc Class C	reports	Information Technology	Internet Software & Services	Mountain View, California	2006-04-03	1652044	1998
28	MO	Altria Group Inc	reports	Consumer Staples	Tobacco	Richmond, Virginia		764180	1985
29	AMZN	Amazon.com Inc.	reports	Consumer Discretionary	Internet & Direct Marketing Retail	Seattle, Washington	2005-11-18	1018724	1994
30	AEE	Ameren Corp	reports	Utilities	Multi-Utilities	St. Louis, Missouri	1991-09-19	1002910	1902
31	AAL	American Airlines Group	reports	Industrials	Airlines	Fort Worth, Texas	2015-03-23	6201	1934
32	AEP	American Electric Power	reports	Utilities	Electric Utilities	Columbus, Ohio		4904	1906
33	AXP	American Express Co	reports	Financials	Consumer Finance	New York, New York	1976-06-30	4962	1850
34	AIG	American International Group, Inc.	reports	Financials	Property & Casualty Insurance	New York, New York	1980-03-31	5272	1919
35	AMT	American Tower Corp A	reports	Real Estate	Specialized REITs	Boston, Massachusetts	2007-11-19	1053507	
36	AWK	American Water Works Company Inc	reports	Utilities	Water Utilities	Voorhees, New Jersey	2016-03-04	1410636	1886
37	AMP	Ameriprise Financial	reports	Financials	Asset Management & Custody Banks	Minneapolis, Minnesota	2005-10-03	820027	1894
38	ABC	AmerisourceBergen Corp	reports	Health Care	Health Care Distributors	Chesterbrook, Pennsylvania	2001-08-30	1140859	1985
39	AME	AMETEK Inc.	reports	Industrials	Electrical Components & Equipment	Berwyn, Pennsylvania	2013-09-23	1037868	1930
40	AMGN	Amgen Inc.	reports	Health Care	Biotechnology	Thousand Oaks, California	1992-01-02	318154	1980
41	APH	Amphenol Corp	reports	Information Technology	Electronic Components	Wallingford, Connecticut	2008-09-30	820313	1932
42	APC	Anadarko Petroleum Corp	reports	Energy	Oil & Gas Exploration & Production	The Woodlands, Texas	1997-07-28	773910	
43	ADI	Analog Devices, Inc.	reports	Information Technology	Semiconductors	Norwood, Massachusetts	1999-10-12	6281	
44	ANDV	Andeavor	reports	Energy	Oil & Gas Refining & Marketing	San Antonio, Texas	2007-09-27	50104	
45	ANSS	ANSYS	reports	Information Technology	Application Software	Canonsburg, Pennsylvania	2017-06-19	1013462	
46	ANTM	Anthem Inc.	reports	Health Care	Managed Health Care	Indianapolis, Indiana	2002-07-25	1156039	
47	AON	Aon plc	reports	Financials	Insurance Brokers	London, United Kingdom	1996-04-23	315293	
48	AOS	A.O. Smith Corp	reports	Industrials	Building Products	Milwaukee, Wisconsin	2017-07-26	91142	
49	APA	Apache Corporation	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	1997-07-28	6769	
50	AIV	Apartment Investment & Management	reports	Real Estate	Residential REITs	Denver, Colorado	2003-03-14	922864	
51	AAPL	Apple Inc.	reports	Information Technology	Technology Hardware, Storage & Peripherals	Cupertino, California	1982-11-30	320193	
52	AMAT	Applied Materials Inc.	reports	Information Technology	Semiconductor Equipment	Santa Clara, California	1995-03-16	6951	
53	APTV	Aptiv Plc	reports	Consumer Discretionary	Auto Parts & Equipment	Gillingham, Kent, United Kingdom	2012-12-24	1521332	
54	ADM	Archer-Daniels-Midland Co	reports	Consumer Staples	Agricultural Products	Decatur, Illinois	1981-07-29	7084	
55	ARNC	Arconic Inc.	reports	Industrials	Aerospace & Defense	New York, New York	1964-03-31	4281	2016
56	AJG	Arthur J. Gallagher & Co.	reports	Financials	Insurance Brokers	Itasca, Illinois	2016-05-31	354190	
57	AIZ	Assurant Inc.	reports	Financials	Multi-line Insurance	New York, New York	2007-04-10	1267238	
